28574;Adair;From the oak tree ford;Male;Scottish;20000
28575;Adair;From the oak tree ford.;Female;Scottish;20000
28576;Adair;from the oak-tree ford;Male;Gaelic;20000
28577;Adaira;From the oak tree ford;Female;Scottish;137
28578;Adairia;From the oak tree ford;Female;Scottish;10
28579;Adal;Noble;Male;German;9000
28580;Adal;Sweet or noble;Female;German;9000
28581;Adalard;Brave;Male;German;69
28582;Adalbeorht;Noble;Female;English;9
28583;Adalbert;Intelligent or noble;Male;German;2000
28584;Adalbrechta;Noble;Female;English;13
28585;Adalene;Variant of Adela.;Female;French;194
28586;Adalgar;Noble spearman;Male;German;26
28587;Adalgisa;Italian name of Germanic origin, meaning &quot,noble pledge&quot, or &quot,noble hostage.&quot,;Female;Italian;2000
28588;Adalhard;Brave;Male;German;13
28589;Adalheida;Sweet or noble;Female;German;44
28590;Adali;Noble;Female;German;27000
28591;Adalia;&quot,God is my refuge.&quot,Also an Old German name meaning &quot,noble one.&quot,Some variants include Adal, Adalee, Adalie, Adalley, and Addala.;Female;Hebrew;2000
28592;Adalia;&quot,Noble one.&quot,Also a Hebrew name meaning &quot,God is my refuge.&quot,Some variants include Adal, Adalee, Adalie, Adalley, and Addala.;Female;German;2000
28593;Adalia;Noble;Female;German;2000
28594;Adalia;Of the nobility. Noble.;Female;Spanish;2000
28595;Adalicia;Of the nobility. Noble.;Female;French;76
28596;Adalicia;Of the nobility. Noble.;Female;German;76
28597;Adalie;Noble;Female;German;234
28598;Adalie;Of the nobility. Noble.;Female;French;234
28599;Adaliz;Of the nobility. Noble.;Female;French;495
28600;Adaliz;Of the nobility. Noble.;Female;German;495
28601;Adalric;Noble friend;Male;German;79
28602;Adalrik;Noble friend;Male;German;16
28603;Adalson;Son of All;Male;English;60
28604;Adalwen;Noble friend;Male;German;24
28605;Adalwin;Noble friend;Male;German;32
28606;Adalwine;noble friend;Male;German;14
28607;Adalwolf;Noble wolf;Male;German;55
28608;Adalwolfa;Noble she wolf;Female;German;35
